epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3699.2,1.16977,0.66399,1.08712,0.6003,0.65797,0.57645,0.37955,1.23803,1.18207,1.2348,0.0011882,0.0011882,0.0011882
43,3785.81,1.1538,0.65571,1.08124,0.57834,0.66071,0.57408,0.39672,1.19425,1.12696,1.23469,0.0011684,0.0011684,0.0011684
44,3872.36,1.14384,0.65002,1.07989,0.56879,0.6378,0.57185,0.38553,1.19288,1.17006,1.20599,0.0011486,0.0011486,0.0011486
45,3962.94,1.13104,0.64351,1.07227,0.59073,0.61401,0.55634,0.36524,1.22955,1.18627,1.244,0.0011288,0.0011288,0.0011288
46,4048.95,1.14062,0.65619,1.07543,0.60014,0.63462,0.54835,0.36232,1.20534,1.1691,1.23402,0.001109,0.001109,0.001109
47,4134.23,1.12544,0.63763,1.06916,0.5706,0.64011,0.54891,0.36583,1.24091,1.22138,1.27053,0.0010892,0.0010892,0.0010892
48,4221.56,1.12445,0.63515,1.06309,0.59099,0.62088,0.55877,0.36972,1.22345,1.14164,1.24293,0.0010694,0.0010694,0.0010694
49,4311.66,1.10943,0.63486,1.06629,0.60732,0.63735,0.57755,0.3868,1.23169,1.12717,1.25355,0.0010496,0.0010496,0.0010496
50,4398.77,1.09757,0.61756,1.05149,0.60159,0.61809,0.5683,0.38765,1.20849,1.14842,1.2122,0.0010298,0.0010298,0.0010298
51,4483.82,1.09412,0.61484,1.05542,0.59833,0.65659,0.5792,0.40039,1.16122,1.12065,1.18595,0.00101,0.00101,0.00101
52,4570.86,1.08966,0.62231,1.0535,0.60184,0.63462,0.58641,0.40449,1.20815,1.15107,1.2305,0.0009902,0.0009902,0.0009902
53,4662.64,1.07707,0.60425,1.0517,0.62355,0.64835,0.56932,0.38578,1.21839,1.19666,1.24139,0.0009704,0.0009704,0.0009704
54,4748.27,1.07892,0.61326,1.05044,0.64723,0.61241,0.56168,0.38142,1.19012,1.15126,1.22507,0.0009506,0.0009506,0.0009506
55,4833.91,1.05867,0.60451,1.04699,0.5664,0.64058,0.56854,0.38292,1.21592,1.11986,1.24351,0.0009308,0.0009308,0.0009308
56,4922.27,1.06881,0.6062,1.04282,0.60426,0.61951,0.56712,0.37698,1.22428,1.14899,1.23849,0.000911,0.000911,0.000911
57,5009.23,1.05674,0.60125,1.03691,0.62064,0.64011,0.602,0.41522,1.17336,1.08826,1.227,0.0008912,0.0008912,0.0008912
58,5095.86,1.03549,0.58484,1.03535,0.61865,0.63049,0.56944,0.39528,1.18939,1.1272,1.22533,0.0008714,0.0008714,0.0008714
59,5182.6,1.05667,0.58506,1.03848,0.61482,0.65247,0.57581,0.40253,1.18583,1.10554,1.21503,0.0008516,0.0008516,0.0008516
60,5273.1,1.03338,0.57653,1.03362,0.59327,0.62637,0.55121,0.37461,1.20128,1.15106,1.22795,0.0008318,0.0008318,0.0008318
61,5360.77,1.04046,0.57746,1.03595,0.6115,0.64011,0.58216,0.38692,1.21788,1.1433,1.24685,0.000812,0.000812,0.000812
62,5447.14,1.02513,0.56945,1.03054,0.59318,0.60165,0.54818,0.36085,1.26908,1.20557,1.27575,0.0007922,0.0007922,0.0007922
63,5532.4,1.03472,0.57332,1.03094,0.57411,0.65797,0.56698,0.38929,1.17935,1.14117,1.22233,0.0007724,0.0007724,0.0007724
64,5621.99,1.02443,0.56502,1.02745,0.57018,0.65053,0.54793,0.36978,1.19342,1.18842,1.22974,0.0007526,0.0007526,0.0007526
65,5709.66,1.01475,0.56154,1.02094,0.57514,0.62775,0.57253,0.38639,1.20588,1.19852,1.24279,0.0007328,0.0007328,0.0007328
66,5797.12,1.00508,0.55346,1.01676,0.61311,0.6095,0.57661,0.3883,1.20414,1.20368,1.23412,0.000713,0.000713,0.000713
67,5882.08,1.0102,0.56079,1.01964,0.6215,0.63874,0.5942,0.39723,1.18231,1.12362,1.24159,0.0006932,0.0006932,0.0006932
68,5971.52,1.00188,0.55608,1.01669,0.61299,0.61789,0.57341,0.38529,1.18851,1.1683,1.24244,0.0006734,0.0006734,0.0006734
69,6057.93,1.0021,0.54978,1.01301,0.59455,0.62912,0.5713,0.39088,1.19954,1.15208,1.23707,0.0006536,0.0006536,0.0006536
70,6144.18,0.9962,0.5442,1.01512,0.60122,0.61813,0.5719,0.38127,1.18578,1.1483,1.24533,0.0006338,0.0006338,0.0006338
71,6228.96,0.98061,0.53845,1.0129,0.56337,0.65753,0.57621,0.38587,1.20114,1.16487,1.24903,0.000614,0.000614,0.000614
72,6318.22,0.9918,0.54731,1.01173,0.56568,0.63874,0.57944,0.38675,1.20668,1.16267,1.24049,0.0005942,0.0005942,0.0005942
73,6404.91,0.97533,0.53219,1.00743,0.584,0.62637,0.55284,0.37352,1.18391,1.2244,1.25446,0.0005744,0.0005744,0.0005744
74,6492.91,0.98572,0.53401,1.00791,0.5914,0.63599,0.57679,0.38764,1.20663,1.19312,1.24827,0.0005546,0.0005546,0.0005546
75,6578.73,0.98029,0.53685,1.01064,0.56185,0.64148,0.57089,0.38292,1.18529,1.14691,1.23965,0.0005348,0.0005348,0.0005348
76,6666.96,0.96586,0.52287,1.00292,0.61023,0.63736,0.57457,0.3942,1.19047,1.11249,1.24092,0.000515,0.000515,0.000515
77,6754.52,0.94392,0.51188,0.9993,0.57388,0.63187,0.56743,0.38166,1.21732,1.18054,1.25947,0.0004952,0.0004952,0.0004952
78,6841.31,0.96831,0.52213,1.00268,0.58301,0.62637,0.57087,0.39051,1.19899,1.18875,1.25573,0.0004754,0.0004754,0.0004754
79,6925.9,0.95908,0.52426,1.00191,0.57211,0.64649,0.59058,0.40612,1.19624,1.14986,1.24071,0.0004556,0.0004556,0.0004556
80,7017.29,0.95017,0.5142,0.99189,0.57236,0.6456,0.56812,0.38802,1.17752,1.18932,1.25024,0.0004358,0.0004358,0.0004358
81,7109.34,0.94333,0.51107,0.99212,0.58553,0.62775,0.55483,0.37408,1.19339,1.2095,1.25365,0.000416,0.000416,0.000416
82,7199.99,0.92993,0.50761,0.99146,0.59839,0.62088,0.56233,0.37842,1.20124,1.23945,1.25537,0.0003962,0.0003962,0.0003962
83,7292.79,0.92281,0.50456,0.99501,0.59827,0.60165,0.56346,0.38376,1.18817,1.21644,1.2596,0.0003764,0.0003764,0.0003764
84,7382.34,0.92322,0.49925,0.98705,0.60293,0.62775,0.56924,0.37902,1.2238,1.17532,1.27383,0.0003566,0.0003566,0.0003566
85,7470.95,0.91907,0.49818,0.98607,0.60626,0.59615,0.55953,0.36992,1.24424,1.22601,1.28871,0.0003368,0.0003368,0.0003368
86,7558.4,0.91803,0.49649,0.98772,0.56321,0.62912,0.54947,0.36929,1.21722,1.24354,1.27356,0.000317,0.000317,0.000317
87,7650.07,0.9095,0.4898,0.98244,0.59538,0.60232,0.55358,0.37135,1.22924,1.23853,1.27095,0.0002972,0.0002972,0.0002972
88,7739.08,0.89967,0.48523,0.97727,0.6024,0.58654,0.54769,0.36927,1.24057,1.23235,1.28517,0.0002774,0.0002774,0.0002774
89,7828.82,0.89664,0.48335,0.97976,0.63317,0.59753,0.56321,0.38381,1.2165,1.22896,1.24738,0.0002576,0.0002576,0.0002576
90,7920.41,0.90206,0.48253,0.97815,0.63507,0.61126,0.5732,0.38606,1.22422,1.20284,1.24395,0.0002378,0.0002378,0.0002378
91,8005.09,0.87777,0.4551,0.9798,0.63942,0.5989,0.57182,0.38753,1.22238,1.23175,1.24822,0.000218,0.000218,0.000218
92,8087.82,0.85761,0.44391,0.96655,0.61905,0.62363,0.56911,0.38735,1.23121,1.22372,1.25044,0.0001982,0.0001982,0.0001982
93,8167.46,0.8453,0.43877,0.97013,0.63436,0.61486,0.57092,0.38982,1.22089,1.18185,1.24905,0.0001784,0.0001784,0.0001784
94,8249.9,0.82757,0.43272,0.95831,0.60961,0.64286,0.57247,0.38621,1.24385,1.1843,1.26496,0.0001586,0.0001586,0.0001586
95,8331.35,0.82066,0.42575,0.95911,0.63588,0.61409,0.57881,0.38601,1.251,1.19244,1.26759,0.0001388,0.0001388,0.0001388
96,8411.6,0.825,0.42597,0.96245,0.64057,0.61126,0.58196,0.39475,1.22156,1.19528,1.26095,0.000119,0.000119,0.000119
97,8491.72,0.81265,0.41812,0.95897,0.6275,0.61813,0.57478,0.3883,1.22246,1.19935,1.27232,9.92e-05,9.92e-05,9.92e-05
98,8575.19,0.80781,0.42011,0.95795,0.63682,0.60165,0.57309,0.38862,1.23558,1.2075,1.28165,7.94e-05,7.94e-05,7.94e-05
99,8654.73,0.80348,0.41836,0.95423,0.62922,0.61126,0.5783,0.39187,1.23304,1.1916,1.28859,5.96e-05,5.96e-05,5.96e-05
100,8734.98,0.79665,0.41408,0.95084,0.63298,0.61401,0.57702,0.3909,1.24013,1.20074,1.29108,3.98e-05,3.98e-05,3.98e-05
